番号,カテゴリ,質問,回答
1,在庫,在庫切れの商品はいつ再入荷しますか？,"人気商品は毎月中旬に再入荷しています。商品ページで「再入荷お知らせ」に登録いただくと、入荷時にメールでご連絡します。"
2,在庫,サイズ（容量）違いの在庫はありますか？,"現在、ボタニカローションは150mlと300mlの2サイズをご用意しています。在庫状況は各商品ページでご確認いただけます。"
3,在庫,予約注文はできますか？,"次回入荷分の予約注文を承っている商品があります。商品ページに「予約受付中」と表示されている場合はご注文いただけます。"
4,配送,送料はいくらですか？,"全国一律550円です。5,000円（税込）以上のご購入で送料無料になります。"
5,配送,注文してから何日で届きますか？,"ご注文確定から2〜4営業日でお届けします。離島・一部地域は追加で2〜3日いただく場合があります。"
6,配送,配送状況を確認したいです。,"発送完了メールに記載の追跡番号で、配送業者のサイトから状況を確認いただけます。マイページの注文履歴からも確認できます。"
7,配送,配送日時の指定はできますか？,"ご注文時に配送希望日と時間帯（午前/14-16/16-18/18-20/19-21時）を指定いただけます。"
8,返品,返品・交換はできますか？,"未開封の商品に限り、商品到着後8日以内であれば返品・交換を承ります。お客様都合の場合、返送料はお客様負担となります。"
9,返品,届いた商品が破損していました。,"大変申し訳ございません。商品到着後8日以内にお問い合わせください。送料当社負担で交換・返金いたします。"
10,返品,返金はいつ行われますか？,"返品商品の到着確認後、5営業日以内に返金手続きを行います。クレジットカードの場合、明細への反映は締め日により翌月になることがあります。"
11,商品質問,敏感肌でも使えますか？,"ボタニカシリーズは無香料・無着色・パラベンフリーで、敏感肌の方にもお使いいただけます。心配な場合はパッチテストをおすすめします。"
12,商品質問,全成分を知りたいです。,"各商品ページの「成分」タブに全成分を記載しています。特定成分のアレルギーが心配な場合はご購入前にご確認ください。"
13,商品質問,使用期限はどのくらいですか？,"未開封で製造から3年、開封後は6ヶ月以内のご使用をおすすめします。商品底面に製造ロット番号を記載しています。"
14,商品質問,定期購入の解約方法は？,"マイページの「定期便管理」からいつでも解約・スキップ・お届け周期の変更が可能です。次回お届け予定日の5日前までにお手続きください。"
15,その他,支払い方法は何がありますか？,"クレジットカード、Amazon Pay、コンビニ後払い、代金引換に対応しています。"
16,その他,領収書は発行できますか？,"マイページの注文履歴から電子領収書をダウンロードいただけます。宛名の変更も可能です。"
17,その他,ポイントは使えますか？,"100円（税込）につき1ポイント貯まり、1ポイント=1円としてご利用いただけます。ポイントの有効期限は最終購入日から1年です。"
18,その他,ギフトラッピングはできますか？,"1点につき330円でギフトラッピングを承っています。ご注文時にラッピングオプションを選択してください。メッセージカードも無料でお付けできます。"
